"Card No","Date","Order No.","ATS client","Request No.","Description","Actual Completion","Estim Completion","Pending days","Status"
"8651","06.28.2017","HEISCO SC16420000/B/004 -GC30","Heavy Engineering Industries & Shipbuilding C","","sdfsfdf","05.31.2017","06.28.2017","0","Unauthorize"
"8650","07.18.2017","ENDRASIS -01","Edrasis Middle East General Trading & Contrac","898","abc","07.18.2017","07.20.2017","2","Unauthorize"
"8649","07.18.2017","ENDRASIS -01","Edrasis Middle East General Trading & Contrac","898","abc","07.18.2017","07.20.2017","2","Unauthorize"
"8648","07.14.2017","GREEN SPRING KCC","GREEN SPRING","hjhjhjhjg","asassa","07.20.2017","07.28.2017","14","Unauthorize"
"8647","05.07.2017","AGI-LFHO/2070/SO-160 DATED 22ND APRIL 2016","ALGHANIM INTERNATIONAL GENERAL TRADING & CONT","asa","","07.19.2017","07.05.2017","59","Unauthorize"
"8631","07.19.2017","HEISCO SC16420000/B/004 -GC29","Heavy Engineering Industries & Shipbuilding C","cool","cool desc","08.02.2017","07.20.2017","1","Unauthorize"
"8612","07.05.2017","DODSAL EF/1761 NDT cordinator SAP No440003548","Dodsal Enginnering LTD","jhghjg","jgjhh","07.12.2017","07.06.2017","1","Unauthorize"
"8611","07.05.2017","DODSAL EF/1761 NDT cordinator SAP No440003548","Dodsal Enginnering LTD","jhghjg","jgjhh","07.12.2017","07.06.2017","1","Unauthorize"
"8609","07.18.2017","ENDRASIS -01","Edrasis Middle East General Trading & Contrac","898","abc","07.18.2017","07.20.2017","2","Unauthorize"
"8608","07.27.2017","CGCDATED 28/05/2016","Combined Group Contracting Co.(K.S.C)","898","abc","07.27.2017","07.21.2017","-6","Unauthorize"
"8607","07.27.2017","CGCDATED 28/05/2016","Combined Group Contracting Co.(K.S.C)","898","abc","07.27.2017","07.21.2017","-6","Unauthorize"
"8606","07.18.2017","CGCDATED 28/05/2016","Combined Group Contracting Co.(K.S.C)","898","abc","07.26.2017","07.26.2017","8","Unauthorize"
"8605","07.18.2017","CGCDATED 28/05/2016","Combined Group Contracting Co.(K.S.C)","898","abc","07.26.2017","07.26.2017","8","Unauthorize"
"8604","07.18.2017","GREEN SPRING KCC","GREEN SPRING","898","abc","12.07.2017","","-17365","Unauthorize"
"8603","07.18.2017","GREEN SPRING KCC","GREEN SPRING","898","abc","12.07.2017","","-17365","Unauthorize"
"8602","07.04.2017","HEISCO SC16420000/B/004 -GC30","Heavy Engineering Industries & Shipbuilding C","fdskfhsd","","","","-17351","Unauthorize"
"8601","07.04.2017","HEISCO SC16420000/B/004 -GC30","Heavy Engineering Industries & Shipbuilding C","fdskfhsd","","","","-17351","Unauthorize"
"8600","07.12.2017","HEISCO SC16420000/B/004 -GC29","Heavy Engineering Industries & Shipbuilding C","kdjfshdkj","fsdhkgf","07.19.2017","07.19.2017","7","Unauthorize"
"8599","07.16.2017","CGCDATED 28/05/2016","Combined Group Contracting Co.(K.S.C)","898","","12.07.2017","12.07.2017","144","Unauthorize"
"8598","07.16.2017","CGCDATED 28/05/2016","Combined Group Contracting Co.(K.S.C)","898","abc","","","-17363","Unauthorize"
"8597","07.16.2017","AGI-LFHO/2070/SO-160 DATED 22ND APRIL 2016","ALGHANIM INTERNATIONAL GENERAL TRADING & CONT","898","abc","","","-17363","Unauthorize"
"8596","07.16.2017","CGCDATED 28/05/2016","Combined Group Contracting Co.(K.S.C)","898","abc","","","-17363","Unauthorize"
"8595","07.06.2017","AGI-LFHO/2070/SO-160 DATED 22ND APRIL 2016","ALGHANIM INTERNATIONAL GENERAL TRADING & CONT","898","","","","-17353","Unauthorize"
"8594","","CGCDATED 28/05/2016","Combined Group Contracting Co.(K.S.C)","898","abc","12.07.2017","","0","Unauthorize"
"8593","","CGCDATED 28/05/2016","Combined Group Contracting Co.(K.S.C)","898","abc","12.07.2017","","0","Unauthorize"
"8592","","HEISCO SC16420000/B/004 -GC29","Heavy Engineering Industries & Shipbuilding C","123","abc","12.07.2017","","0","Unauthorize"
"8591","07.18.2017","CGCDATED 28/05/2016","Combined Group Contracting Co.(K.S.C)","898","abc","12.07.2017","07.20.2017","2","Unauthorize"
"8590","07.18.2017","CGCDATED 28/05/2016","Combined Group Contracting Co.(K.S.C)","898","abc","12.07.2017","07.20.2017","2","Unauthorize"
"8589","07.12.2017","CGCDATED 28/05/2016","Combined Group Contracting Co.(K.S.C)","dsafsadfdsa","fdassdafads","07.04.2017","07.06.2017","-6","Unauthorize"
"8588","07.12.2017","CGCDATED 28/05/2016","Combined Group Contracting Co.(K.S.C)","dsafsadfdsa","fdassdafads","07.04.2017","07.06.2017","-6","Unauthorize"
"8587","07.04.2017","HEISCO SC16420000/B/004 -GC30","Heavy Engineering Industries & Shipbuilding C","dsafads","dsafdsaf","06.26.2017","06.29.2017","-5","Unauthorize"
"8586","07.05.2017","AGI-LFHO/2070/SO-160 DATED 22ND APRIL 2016","ALGHANIM INTERNATIONAL GENERAL TRADING & CONT","dsafdasf","sdafdsa","07.26.2017","07.12.2017","7","Unauthorize"
"8585","07.05.2017","HEISCO SC16420000/B/004 -GC30","Heavy Engineering Industries & Shipbuilding C","fdsfds","fdsfdsfds","07.03.2017","06.28.2017","-7","Unauthorize"
"8584","17.07.2017","GREEN SPRING KCC","GREEN SPRING","898","abc","26.07.2017","27.07.2017","0","Unauthorize"
"8583","25.07.2017","HEISCO SC16420000/B/004 -GC29","Heavy Engineering Industries & Shipbuilding C","123","abc","26.07.2017","27.07.2017","0","Unauthorize"
"8582","17.07.2017","HAH-01","HAMAD AL HAMAD","1110","hello hi","26.07.2017","26.07.2017","0","Unauthorize"
"8581","25.07.2017","CGCDATED 28/05/2016","Combined Group Contracting Co.(K.S.C)","898","abc","28.07.2017","29.07.2017","0","Unauthorize"
"8580","25.07.2017","AGI-LFHO/2070/SO-160 DATED 22ND APRIL 2016","ALGHANIM INTERNATIONAL GENERAL TRADING & CONT","w","w","26.07.2017","12.07.2017","17506","Unauthorize"
"8579","25.07.2017","CGCDATED 28/05/2016","Combined Group Contracting Co.(K.S.C)","898","abc","12.07.2017","12.07.2017","17506","Unauthorize"
"8578","25.07.2017","CGCDATED 28/05/2016","Combined Group Contracting Co.(K.S.C)","898","abc","12.07.2017","12.07.2017","17506","Unauthorize"
